a_avg,a_std,a_median,b_avg,b_std,b_median,label
0.00015750000000000006,0.00711401361388158,0.0,70.215,0.035796746153466716,70.2,0
0.0001805,0.003915395427895368,0.0,69.297,0.9853657841853527,69.6,0
0.000193,0.003368916590682362,0.0,64.76450000000001,2.5137990529061707,64.95,0
0.00020550000000000003,0.006468790148080214,-0.0008,57.836499999999994,2.5640180758854516,57.55,0
-0.0004300000000000001,0.015124318997086385,-0.0008,53.145,1.089361529848365,52.8,0
-0.0001395000000000001,0.016081763127107122,-0.0008,52.13550000000001,0.10267649347128,52.2,0
0.0006440000000000001,0.007266406769283108,-0.0008,51.86849999999998,0.1538704996198644,51.8,0
0.0003119999999999998,0.016321055119109338,-0.0015,51.961499999999994,0.1564934535532583,51.9,0
-0.00038600000000000017,0.017403800312765977,-0.003,50.227,1.8236776030866861,50.75,0
0.0009815,0.02169247160587883,-0.0015,43.114,3.4270581608999504,43.05,0
-0.0008294999999999999,0.025699308395559013,-0.0068,34.935,2.84503888042954,34.75,0
-5.5000000000000185e-05,0.024933964545168066,-0.0063999999999999994,28.8285,1.8989120794357857,28.8,0
-0.0005900000000000004,0.02312275304851724,-0.0046,24.13,1.7511231141196273,24.25,0
0.0004124999999999995,0.023775482362252697,0.0,19.755,1.632144133452009,19.8,0
0.00023099999999999981,0.02321881794003871,-5.000000000000002e-05,15.54,1.5869758858632848,15.45,0
-0.0005844999999999998,0.02093929272082133,-0.0015,11.8,1.2906311026842958,11.7,0
-0.00019449999999999996,0.019042634518285154,-0.003,8.7855,1.0561805417083843,8.649999999999999,0
2.4500000000000494e-05,0.023783302485897093,0.0014500000000000001,6.4415,0.7317822602262976,6.4,0
-0.0008995000000000003,0.03000412115328335,0.0015,4.977499999999999,0.4394420285798941,4.9,0
0.00018950000000000022,0.03231260220185426,0.0026,4.254000000000001,0.13776390845341827,4.2,0
-3.800000000000005e-05,0.029161757431307396,0.0,3.7864999999999998,0.3232494408425564,3.8499999999999996,0
0.0002555000000000003,0.030236984736906204,0.0,3.3740000000000006,0.07105804832076225,3.4,0
-0.0006865000000000002,0.02091688187774261,-0.00115,3.9045,0.470677636165061,3.9,0
-0.0007775,0.017458935128728374,-0.0008,5.5954999999999995,0.8780573292028455,5.45,0
0.00010849999999999985,0.01873280190162239,-0.0008,8.703,1.5358336253068288,8.5,0
0.0005605,0.012931007094281629,0.0007,13.170499999999999,1.8776869524649975,13.0,0
-6.650000000000003e-05,0.014753513430458312,0.0007,18.3165,2.1173316263826987,18.4,0
-0.00017550000000000004,0.011742173689944466,0.0007,24.1855,2.4244026876655203,24.15,0
0.000277,0.008352351758606519,0.0007,30.767000000000003,2.6228434070085935,30.75,0
